Organization Name,Website,Headquarters,Organization Type,Firm Size,Target Clients,Industries Served,Core Services,Training Topics,Delivery Models,Pricing Model,Pricing Tier,Unique Selling Proposition,Key Differentiators,Marketing Strategy,Thought Leadership Channels,Partnerships,Notable Clients,Growth Indicators,Scalability Score
Deloitte Canada (DEI Practice),deloitte.ca,"Toronto, ON",Big Four / Global Consulting,Enterprise (500+),"Large Enterprise, Government","Financial Services, Technology, Government, Healthcare","DEI Strategy, Culture Transformation, Inclusive Leadership, Equity Audits, Workforce Analytics","Inclusive Leadership, Unconscious Bias, Systemic Equity, Data-Driven DEI","Consulting, Workshops, Digital Learning, Executive Coaching",Project-Based / Retainer,Premium,Global scale with data-driven DEI analytics and organizational transformation,"Proprietary research, global benchmarking data, cross-sector expertise","Thought Leadership, Research Reports, C-Suite Advisory","Reports, Webinars, Industry Events, LinkedIn","Universities, Government Agencies, Industry Associations","Major banks, federal government, Fortune 500",Expanding ESG-linked DEI advisory services,9/10
KPMG Canada (DEI Advisory),kpmg.ca,"Toronto, ON",Big Four / Global Consulting,Enterprise (500+),"Large Enterprise, Government, Crown Corporations","Financial Services, Mining, Energy, Public Sector","Inclusion Strategy, Pay Equity Analysis, Governance Advisory, Workforce Planning","Pay Equity, Board Diversity, ESG Governance, Inclusive Hiring","Consulting, Workshops, Benchmarking Tools",Project-Based / Retainer,Premium,Integration of DEI with ESG and corporate governance frameworks,"Pay equity analytics, board diversity benchmarking, regulatory expertise","Research Authority, Compliance Expertise","Publications, Conferences, Government Consultations","CPA Associations, Law Firms","Crown corporations, major insurers, pension funds",Growing regulatory-driven DEI demand,9/10
PwC Canada (Inclusion Advisory),pwc.com/ca,"Toronto, ON",Big Four / Global Consulting,Enterprise (500+),"Large Enterprise, Private Equity, Government",Cross-Industry,"Belonging Strategy, Inclusive Culture Assessment, Talent Analytics, Bias Mitigation","Belonging Culture, Talent Equity, Data Analytics for DEI, Allyship","Consulting, Digital Platforms, Workshops",Project-Based / Retainer,Premium,Focus on belonging as the evolution of DEI with analytics integration,"Global methodology, digital DEI tools, belonging measurement frameworks","Innovation-Led Messaging, Research Authority","Thought leadership papers, digital content, events","Tech companies, academic institutions","Top-tier banks, tech firms, energy companies",Expanding digital DEI measurement tools,9/10
EY Canada (DEI Consulting),ey.com/ca,"Toronto, ON",Big Four / Global Consulting,Enterprise (500+),"Large Enterprise, Government","Professional Services, Technology, Healthcare","Inclusive Leadership, Workforce Transformation, Culture Diagnostics, Accessibility Consulting","Neurodiversity, Accessibility, Inclusive Leadership, Workforce Equity","Consulting, Coaching, Digital Learning",Project-Based / Retainer,Premium,Leading in neurodiversity and accessibility integration within DEI,"Neurodiversity Centre of Excellence, accessibility expertise, global network",Lived Experience + Research Authority,"Publications, Conferences, Digital Content","Disability organizations, tech accelerators","Global tech firms, government agencies",Pioneering neurodiversity-at-work programs,9/10
McKinsey & Company Canada,mckinsey.com,"Toronto, ON",Global Management Consulting,Enterprise (500+),"C-Suite, Board Directors",Cross-Industry,"DEI Strategy, Board Diversity, Women in Leadership Research, Organization Design","Women in the Workplace, Board Diversity, Race & Ethnicity in Business","Consulting, Research Publications, Executive Briefings",Project-Based,Premium,Definitive research on diversity-performance correlation,"Landmark research (Women in the Workplace), unmatched brand authority","Research Authority, Data-Driven Narrative","Published research, Harvard Business Review, conferences","Lean In Foundation, industry associations","Fortune 100 companies, sovereign wealth funds",Research becoming industry benchmark,8/10
Accenture Canada,accenture.com,"Toronto, ON",Global Consulting / Technology,Enterprise (500+),"Large Enterprise, Technology","Technology, Financial Services, Communications","DEI Tech Solutions, Inclusive Design, Workforce Analytics, Culture Change","Inclusive Design, AI Bias, Digital Accessibility, Workforce Equity","Consulting, Technology Implementation, Digital Platforms",Project-Based / Platform Licensing,Premium,Technology-first approach to DEI with AI-powered analytics,"Tech implementation capability, AI ethics expertise, scale","Innovation-Led, Technology Authority","Research reports, digital content, tech conferences","Tech startups, universities, AI research labs","Global banks, telecom companies",AI ethics and inclusive design growing rapidly,9/10
Canadian Centre for Diversity and Inclusion (CCDI),ccdi.ca,"Toronto, ON",Nonprofit / Membership Network,Mid-size (25-100),"Employers (all sizes), HR Leaders, Government",Cross-Industry,"Employer Partnerships, Research, Toolkits, Webinars, Workplace Inclusion Assessments","Unconscious Bias, Inclusive Leadership, Indigenous Inclusion, Anti-Racism","Membership Model, Webinars, Toolkits, Consulting",Membership + Project Fees,Low-Mid,Canada's premier employer-focused DEI membership organization,"Largest Canadian DEI employer network, research library, benchmarking tools","Community Building, Research Authority","Webinars, Research Publications, Annual Conference","Government agencies, universities, corporate partners",200+ employer members across sectors,"Membership growth, expanding research output",7/10
Catalyst Canada,catalyst.org,"Toronto, ON",Nonprofit Research Organization,Mid-size (25-100),"Corporate Leaders, HR Executives, Board Directors",Cross-Industry (Corporate Focus),"Research, Executive Programs, Employee Resource Group Support, Workplace Assessment","Women in Leadership, Inclusive Talent Management, Men as Allies, LGBTQ+ Inclusion","Research Publications, Workshops, Consulting, Digital Tools",Membership + Project Fees,Mid,Global authority on women in business with 60+ years of research,"Unmatched research depth on gender equity, Fortune 500 relationships","Research Authority, Gender Equity Expertise","Published research, conferences, corporate partnerships","Fortune 500 companies, academic institutions",Major global corporations,Expanding to intersectional equity research,7/10
Diversio,diversio.com,"Toronto, ON",DEI Technology Platform,Small (5-25),"HR Leaders, People Analytics Teams, Executives","Technology, Financial Services, Professional Services","AI-Powered DEI Measurement, Inclusion Analytics, Benchmarking Platform, Bias Detection","Data-Driven DEI, Inclusion Metrics, Predictive Analytics, Employee Experience","SaaS Platform, Consulting, Reporting Dashboards",SaaS Subscription + Consulting,Mid-Premium,AI-powered DEI measurement and analytics platform,"Proprietary AI algorithms, real-time inclusion measurement, benchmarking database","Technology Innovation, Data Authority","LinkedIn, Industry Events, Media Coverage","Venture capital firms, tech accelerators","Canadian tech companies, US expansion clients","Venture-backed, rapid growth trajectory",10/10
Anima Leadership,animaleadership.com,"Toronto, ON",Boutique DEI Consultancy,Small (5-25),"Corporate Leaders, HR Teams, Nonprofit Leaders",Cross-Industry,"Anti-Racism Consulting, Organizational Change, Leadership Development, DEI Strategy","Anti-Racism, Racial Equity, Power & Privilege, Systemic Change","Consulting, Workshops, Coaching, Speaking",Project-Based,Mid,Deep expertise in anti-racism and racial equity organizational change,"Founder-led thought leadership, lived experience, deep community roots","Lived Experience, Social Justice Authority","Speaking engagements, social media, publications","Community organizations, social justice networks","Major nonprofits, government agencies, educational institutions",Growing demand for anti-racism consulting,5/10
Turner Consulting Group,turnerconsultinggroup.ca,"Toronto, ON",Boutique DEI Consultancy,Small (5-25),"Government, Public Sector, Nonprofits, Education","Public Sector, Education, Healthcare, Nonprofits","Employment Systems Review, Equity Audits, Policy Development, Training","Employment Equity, Systemic Barriers, Anti-Racism, Human Rights","Consulting, Audits, Workshops, Policy Review",Project-Based,Mid,Established authority in public sector equity audits and systems reviews,"25+ years experience, government trust, deep policy expertise","Compliance Expertise, Research Authority","Publications, government consultations, conferences","Government agencies, human rights commissions","Ontario Public Service, municipalities, hospitals",Stable government consulting demand,5/10
Feminuity,feminuity.org,"Toronto, ON",Boutique DEI Consultancy,Small (5-25),"Tech Companies, Startups, Scale-ups","Technology, Startups, Innovation Economy","Inclusive Product Design, DEI Strategy, Hiring Audits, Culture Assessments","Inclusive Design, Intersectional Feminism, Startup Culture, Tech Equity","Consulting, Workshops, Product Audits, Coaching",Project-Based,Mid,Specialization in tech sector DEI and inclusive product design,"Tech-native approach, startup culture expertise, product inclusion lens","Innovation-Led, Tech Sector Authority","Social media, tech events, podcasts","Tech accelerators, VC firms","Major Canadian tech companies, international startups",Tech sector DEI demand expanding,7/10
Indigenous Corporate Training (ICT),ictinc.ca,"Vancouver, BC",Training Provider,Small (5-25),"Corporate Teams, Government, Education",Cross-Industry (Indigenous Focus),"Indigenous Awareness Training, Cultural Competency, Reconciliation Consulting","Indigenous History, Cultural Protocols, UNDRIP, Reconciliation, Land Acknowledgment","Online Courses, In-Person Workshops, Consulting, Books",Per-Participant + Licensing,Low-Mid,Canada's leading Indigenous awareness training organization,"Indigenous-led, 25+ years experience, published author/founder, comprehensive curriculum","Cultural Authority, Lived Experience","Books, blog, social media, podcasts","Indigenous communities, government reconciliation offices","Federal government, major corporations, universities",TRC-driven reconciliation demand,8/10
NationTalk / Indigenous Works,indigenousworks.ca,"Saskatoon, SK",Nonprofit / Membership Network,Small (5-25),"Employers, Government, Indigenous Communities",Cross-Industry (Indigenous Focus),"Indigenous Employment Programs, Workplace Inclusion, Guiding Circle Certification","Indigenous Inclusion, Workplace Readiness, Cultural Competency, Community Relations","Certification, Consulting, Membership, Research",Membership + Certification Fees,Low-Mid,National Indigenous inclusion certification and employment readiness,"Guiding Circle certification, national Indigenous employer network, community trust","Community Building, Certification Authority","Research reports, conferences, Indigenous media","Indigenous communities, federal government, corporate partners","Resource sector companies, government agencies",Reconciliation agenda driving growth,6/10
Pride at Work Canada,prideatwork.ca,"Toronto, ON",Nonprofit / Membership Network,Small (5-25),"HR Leaders, Employers, LGBTQ2S+ Employees",Cross-Industry (LGBTQ2S+ Focus),"LGBTQ2S+ Workplace Inclusion, Employer Certification, Training, Research","LGBTQ2S+ Inclusion, Trans Inclusion, Queer Leadership, Allyship","Membership, Webinars, Consulting, Certification",Membership + Project Fees,Low-Mid,Canada's leading LGBTQ2S+ workplace inclusion organization,"Community trust, employer certification program, annual conference","Community Authority, Lived Experience","Conferences, webinars, social media, publications","LGBTQ2S+ organizations, corporate sponsors","Major banks, federal employers, tech companies",Growing employer certification demand,6/10
Canadian Race Relations Foundation (CRRF),crrf-fcrr.ca,"Toronto, ON",Government / Regulatory Body,Mid-size (25-100),"Government, Educators, Employers, Community Organizations","Public Sector, Education","Anti-Racism Research, Policy Development, Community Grants, Training Programs","Anti-Racism, Racial Equity, Human Rights, Cultural Competency","Research, Grants, Workshops, Policy Advisory",Government-Funded + Grants,Low (often subsidized),Federal government-backed authority on race relations in Canada,"Federal mandate, research credibility, grant-making capacity","Research Authority, Government Mandate","Publications, conferences, government consultations","Federal government, human rights commissions, universities","Government agencies, school boards, community organizations",Increased anti-racism funding post-2020,4/10
Humber College Centre for Equity and Inclusion,humber.ca,"Toronto, ON",Educational Institution,Large (100-500),"Educators, Students, Corporate Partners","Education, Public Sector","DEI Curriculum Development, Community Partnerships, Equity Research, Training","Equity in Education, Anti-Racism, Indigenous Education, Accessible Learning","Workshops, Courses, Research, Community Programs",Tuition + Contract Training,Low-Mid,Post-secondary leadership in equity-centered education and community development,"Academic rigor, student pipeline, community partnerships, research capability","Academic Authority, Community Impact","Academic publications, community events, institutional partnerships","School boards, community organizations, government","Ontario educational institutions, community partners",Post-secondary equity mandates expanding,5/10
Inclusive Employers Canada,inclusiveemployers.ca,"Toronto, ON",Membership Network,Small (5-25),"Employers, HR Leaders",Cross-Industry,"Employer Inclusion Standards, Benchmarking, Accreditation, Training","Inclusive Hiring, Workplace Culture, Employee Engagement, Accommodation","Membership, Accreditation, Webinars, Consulting",Membership + Accreditation Fees,Low-Mid,Employer accreditation and inclusion standards framework,"Accreditation methodology, employer benchmarking, practical toolkits",Compliance + Standards Authority,"Webinars, member communications, conferences","HR associations, industry bodies",Mid-size to large Canadian employers,Employer accreditation demand growing,7/10
Bakau Consulting,bakauconsulting.com,"Ottawa, ON",Boutique DEI Consultancy,Solo/Micro (1-5),"Government, Nonprofits, Corporate","Public Sector, Nonprofits, Healthcare","Anti-Black Racism Consulting, Organizational Assessments, Policy Development","Anti-Black Racism, Afrocentric Frameworks, Systemic Equity, Power Analysis","Consulting, Workshops, Speaking, Policy Review",Project-Based,Mid,Specialized expertise in anti-Black racism and Afrocentric organizational change,"Afrocentric lens, public sector expertise, community trust","Lived Experience, Social Justice Authority","Speaking, social media, community partnerships","Black community organizations, government equity offices","Federal government, Ontario Public Service, hospitals",Anti-Black racism initiatives expanding,4/10
Tidal Equality,tidalequality.com,"Toronto, ON",Boutique DEI Consultancy,Small (5-25),"Tech Companies, Startups, Corporate","Technology, Startups, Professional Services","Inclusion Infrastructure Design, Systems-Level DEI, Behavioral Science for Inclusion","Behavioral Design, Systems Thinking, Inclusive Infrastructure, Decision Architecture","Consulting, Workshops, Speaking, Research",Project-Based,Mid-Premium,Behavioral science approach to building inclusive organizational infrastructure,"Unique systems-level methodology, behavioral science expertise, innovation focus","Innovation-Led, Research Authority","Speaking, publications, LinkedIn, podcasts","Behavioral science researchers, tech networks","Major tech companies, innovative enterprises",Behavioral science approach gaining traction,7/10
Kelsey Consulting,kelseyconsulting.ca,"Calgary, AB",Boutique DEI Consultancy,Solo/Micro (1-5),"Energy Sector, Corporate, Government","Energy, Oil & Gas, Mining, Natural Resources","DEI Strategy for Resource Sector, Indigenous Relations, Inclusive Leadership","Energy Sector DEI, Indigenous Engagement, Rural/Remote Inclusion, Safety Culture","Consulting, Workshops, Coaching",Project-Based,Mid,Specialized DEI consulting for Canada's resource and energy sector,"Deep energy sector knowledge, Indigenous relations expertise, Western Canada focus","Industry Expertise, Regional Authority","Industry conferences, LinkedIn, sector publications","Energy industry associations, Indigenous business councils","Oil & gas companies, mining firms, utilities",ESG requirements driving energy sector DEI,5/10
Living Hyphen,livinghyphen.ca,"Toronto, ON",Boutique DEI Consultancy / Media,Solo/Micro (1-5),"Corporate, Nonprofits, Arts & Culture Organizations","Arts & Culture, Media, Nonprofits","Storytelling-Based DEI, Community Engagement, Cultural Programming, Consulting","Cultural Identity, Immigration & Belonging, Storytelling, Community Building","Workshops, Events, Media Production, Consulting",Project-Based + Grants,Low-Mid,Unique storytelling and arts-based approach to diversity and belonging,"Arts-based methodology, media platform, community engagement, cultural programming","Community Building, Cultural Authority","Magazine, events, social media, community partnerships","Arts councils, cultural organizations, media partners","Arts organizations, municipal governments, cultural institutions",Growing demand for arts-based DEI approaches,5/10
Diversify Canada,diversifycanada.ca,"Vancouver, BC",Training Provider,Small (5-25),"Corporate, Government, Small Business",Cross-Industry,"DEI Training Programs, Inclusive Hiring, Workplace Culture Workshops","Unconscious Bias, Cultural Competency, Inclusive Hiring, Microaggressions","Workshops, Online Courses, Consulting, Webinars",Per-Session + Package,Low-Mid,Accessible and affordable DEI training for organizations of all sizes,"Affordable pricing, accessible content, practical tools, small business friendly",Accessibility + Affordability,"Social media, webinars, community events","Community organizations, small business associations","SMEs, nonprofits, municipalities",Demand from SME sector growing,7/10
Blueprint for All (formerly Runnymede Trust Canada),blueprintforall.ca,"Toronto, ON",Nonprofit DEI Organization,Small (5-25),"Community Organizations, Government, Education","Public Sector, Community Development, Education","Community Equity Programs, Research, Policy Advocacy, Youth Programs","Racial Equity, Youth Empowerment, Community Development, Policy Reform","Research, Programs, Advocacy, Community Events",Grant-Funded + Contracts,Low,Youth-focused racial equity and community development programs,"Youth engagement, community trust, research credibility, policy influence","Community Building, Youth Authority","Publications, community events, social media","Youth organizations, government equity offices, school boards","Municipal governments, school boards, community agencies",Youth equity programming expanding,4/10
Inclusive Excellence Canada,inclusiveexcellence.ca,"Montreal, QC",Boutique DEI Consultancy,Small (5-25),"Universities, Healthcare, Corporate","Higher Education, Healthcare, Professional Services","Equity Assessment, Inclusive Excellence Frameworks, Faculty Development","Equity in Higher Ed, Healthcare Equity, Inclusive Pedagogy, Assessment Design","Consulting, Workshops, Program Evaluation, Speaking",Project-Based,Mid,Academic excellence through equity frameworks for higher education and healthcare,"Academic rigor, higher education expertise, bilingual capability","Academic Authority, Research-Based","Academic publications, conferences, university partnerships","Universities, academic associations, research councils","Canadian universities, hospitals, professional associations",University equity mandates strengthening,5/10
Empowered EDI,empoweredi.ca,"Toronto, ON",Boutique DEI Consultancy,Small (5-25),"Nonprofits, Small Business, Corporate",Cross-Industry,"EDI Strategy, Board Governance, Inclusive Hiring, Capacity Building","EDI Governance, Board Diversity, Inclusive Recruitment, Organizational Capacity","Consulting, Workshops, Board Advisory, Coaching",Project-Based,Mid,Practical EDI capacity building for growing organizations and nonprofit boards,"Nonprofit governance expertise, practical implementation focus, capacity building","Practitioner Authority, Nonprofit Expertise","LinkedIn, sector events, webinars","Nonprofit sector networks, governance associations","Nonprofit organizations, social enterprises, small businesses",Nonprofit governance reform driving demand,6/10
Global Makeshift,globalmakeshift.com,"Toronto, ON",Training Provider,Small (5-25),"Corporate, Government, Education",Cross-Industry,"Intercultural Competency, Global DEI, Cross-Cultural Training, Immigration Support","Intercultural Communication, Global Inclusion, Immigration Integration, Cross-Cultural Teams","Workshops, Online Courses, Consulting, Coaching",Per-Session + Package,Mid,Intercultural competency and global DEI training for diverse workplaces,"Global perspective, immigration expertise, multilingual capability, intercultural methodology","Cultural Expertise, Global Authority","Webinars, social media, industry events","Immigration services, multicultural organizations","Multinational companies, government immigration services",Immigration-driven diversity demand increasing,7/10
Centric Consulting Canada,centricconsulting.ca,"Ottawa, ON",HR Consulting Firm,Mid-size (25-100),"Government, Healthcare, Large Enterprise","Public Sector, Healthcare, Financial Services","HR Transformation, DEI Integration, Talent Management, Organizational Development","DEI-Integrated HR, Talent Equity, Performance Management, Succession Planning","Consulting, Project Management, HR Technology",Project-Based / Retainer,Mid-Premium,DEI integration within broader HR transformation and organizational development,"HR systems expertise, government relationships, bilingual capability","Compliance Expertise, HR Authority","Government publications, HR conferences, LinkedIn","HR technology vendors, government consultants","Federal government, healthcare systems, Crown corporations",HR modernization creating DEI integration opportunities,7/10
Optimus SBR (DEI Practice),optimussbr.com,"Toronto, ON",HR Consulting Firm,Mid-size (25-100),"Government, Healthcare, Education","Public Sector, Healthcare, Education","Organizational Review, DEI Strategy, Change Management, Leadership Development","Change Management, Leadership Development, Organizational Culture, DEI Strategy","Consulting, Workshops, Executive Coaching, Assessments",Project-Based,Mid-Premium,DEI embedded in comprehensive organizational transformation consulting,"Government procurement expertise, change management methodology, public sector track record","Organizational Authority, Government Expertise","Case studies, government publications, conferences","Government consultants, leadership development firms","Ontario Public Service, hospitals, universities",Government transformation projects increasing,6/10
Lean In Canada,leanin.org/canada,"Toronto, ON",Nonprofit / Membership Network,Small (5-25),"Women in Business, Corporate Partners, HR Leaders",Cross-Industry (Gender Focus),"Women's Leadership Circles, Mentoring Programs, Gender Equity Research, Events","Women's Leadership, Mentoring, Gender Pay Equity, Women in Tech","Circles (Peer Groups), Events, Digital Content, Workshops",Membership + Sponsorship,Low,Grassroots women's leadership development through peer learning circles,"Brand recognition, global network, peer learning model, corporate partnerships","Community Building, Gender Authority","Events, social media, digital content, corporate partnerships","Corporate sponsors, academic partners","Corporate sponsors, women's professional networks",Women's leadership investment continuing,7/10
Hive Learning (Canada Operations),hivelearning.com,"London, UK (Canadian Ops)",DEI Technology Platform / Training,Mid-size (25-100),"Large Enterprise, Government",Cross-Industry,"Digital DEI Learning Platform, Peer Learning, Behavior Change Programs","Unconscious Bias, Inclusive Leadership, Allyship, Psychological Safety","SaaS Platform, Digital Learning, Peer Programs",SaaS Subscription,Mid-Premium,Behavior change through peer-driven digital learning platform,"Peer learning methodology, behavioral science, scalable technology, enterprise clients","Technology Innovation, Behavioral Science","LinkedIn, webinars, case studies","Enterprise technology partners, research institutions",Major UK and Canadian enterprises,Digital learning market expanding,9/10
Veza Global,vezaglobal.com,"Toronto, ON",Boutique DEI Consultancy,Small (5-25),"Corporate, Technology, Financial Services","Technology, Financial Services, Professional Services","Inclusive Leadership, Executive Coaching, DEI Measurement, Culture Transformation","Inclusive Leadership, Executive Presence, Cultural Intelligence, DEI Metrics","Coaching, Consulting, Workshops, Speaking",Project-Based + Retainer,Mid-Premium,Executive-level inclusive leadership coaching and measurement,"C-suite access, executive coaching expertise, measurement frameworks","Leadership Authority, Executive Expertise","LinkedIn, executive events, speaking engagements","Executive coaching networks, leadership development firms","Bay Street firms, tech companies, professional services firms",Executive DEI demand growing,6/10
CultureAlly,cultureally.com,"Toronto, ON",DEI Technology Platform,Solo/Micro (1-5),"HR Teams, Small-Mid Business","Technology, Professional Services, Startups","DEI Calendar, Inclusion Toolkits, Automated Awareness Content","Cultural Celebrations, Inclusive Language, Awareness Days, Team Inclusion","SaaS Platform, Digital Content, Automated Tools",SaaS Subscription,Low,Automated DEI awareness tools and inclusion calendar for busy teams,"Low-cost automation, easy implementation, plug-and-play DEI tools",Accessibility + Technology,"Social media, product demos, startup events","HR tech marketplaces, startup networks","SMEs, startups, growing companies",SME DEI tools market emerging,9/10
Birch Cove Consulting,birchcoveconsulting.ca,"Halifax, NS",Boutique DEI Consultancy,Solo/Micro (1-5),"Nonprofits, Government, Small Business","Nonprofits, Public Sector, Social Enterprise","Equity Assessments, Policy Development, Community Engagement, Facilitation","Racial Equity, Community Building, Policy Analysis, Power & Privilege","Consulting, Facilitation, Workshops, Policy Review",Project-Based,Low-Mid,Atlantic Canada focused equity consulting with community-centered approach,"Regional expertise, community relationships, accessible approach, social justice lens","Community Building, Regional Authority","Community events, social media, local partnerships","Atlantic Canada nonprofits, community organizations","Provincial governments, nonprofits, community organizations",Atlantic Canada equity investment growing,4/10
Normandin Beaudry (DEI Practice),normandinbeaudry.ca,"Montreal, QC",HR Consulting Firm,Large (100-500),"Large Enterprise, Government","Financial Services, Manufacturing, Public Sector","Pay Equity Analysis, Total Rewards Equity, DEI Strategy, Benefits Design","Pay Equity, Total Rewards, Benefits Equity, Compensation Analysis","Consulting, Actuarial Analysis, Benchmarking",Project-Based,Mid-Premium,Actuarial and total rewards expertise applied to pay equity and DEI,"Actuarial precision, pay equity analytics, bilingual, Quebec market leadership","Compliance Expertise, Analytical Authority","Publications, HR conferences, industry events","Actuarial associations, HR bodies","Quebec employers, federal regulated employers",Pay equity legislation driving demand,6/10
Mercer Canada (DEI Advisory),mercer.ca,"Toronto, ON",Global HR Consulting,Enterprise (500+),"Large Enterprise, Government",Cross-Industry,"Pay Equity, DEI Metrics, Workforce Planning, Total Rewards Equity","Pay Equity, DEI Data Analytics, Workforce Demographics, Benefits Equity","Consulting, Data & Analytics, Platform Tools",Project-Based / Platform,Premium,Global HR data and analytics powering evidence-based DEI strategy,"Massive HR datasets, global benchmarking, pay equity modeling, actuarial expertise","Data Authority, Compliance Expertise","Research publications, conferences, webinars","Marsh McLennan companies, industry associations",Major Canadian employers across sectors,Pay equity regulation expanding globally,8/10
Korn Ferry Canada (DEI Practice),kornferry.com,"Toronto, ON",Global Executive Search / HR,Enterprise (500+),"C-Suite, Board Directors, HR Leaders",Cross-Industry,"Inclusive Leadership Assessment, Board Diversity Search, DEI Strategy, Talent Assessment","Inclusive Leadership, Board Diversity, Succession Planning, Assessment & Selection","Executive Search, Assessment, Consulting, Coaching",Project-Based / Search Fee,Premium,Board and executive diversity through assessment science and executive search,"Proprietary assessment tools, global executive network, board placement expertise","Leadership Authority, Assessment Science","Research reports, executive events, publications","Board governance organizations, CEO networks","Major corporations, board advisory committees",Board diversity mandates driving demand,7/10
Egon Zehnder Canada,egonzehnder.com,"Toronto, ON",Global Executive Search,Large (100-500),"Board Directors, C-Suite",Cross-Industry,"Board Diversity Search, CEO Succession, Leadership Assessment, Governance Advisory","Board Composition, CEO Diversity, Governance, Executive Assessment","Executive Search, Board Advisory, Consulting",Search Fee / Retainer,Premium,Elite board and C-suite diversity placement with governance expertise,"Exclusive network, board-level relationships, private governance advisory","Exclusivity, Governance Authority","Private publications, board events, exclusive networks","Board governance bodies, CEO networks","Fortune 500 boards, major Canadian corporations",Board diversity regulation strengthening,5/10
Boyden Canada,boyden.com,"Toronto, ON",Executive Search / DEI,Large (100-500),"Boards, C-Suite, Senior Leaders",Cross-Industry,"Diverse Executive Search, Board Diversity, Leadership Assessment, Succession","Diverse Talent Pipeline, Board Composition, Leadership Diversity, Succession Planning","Executive Search, Board Advisory, Assessment",Search Fee,Premium,Canadian-rooted global executive search with diversity focus,"Canadian roots, global network, board diversity tracking, relationship-based approach","Network Authority, Canadian Leadership","Conferences, executive events, publications","Board director associations, industry groups","Major Canadian corporations, public institutions",Diversity search mandates increasing,5/10
Mathison (Canadian Operations),mathison.io,"New York, NY (Canadian Ops)",DEI Technology Platform,Mid-size (25-100),"Talent Acquisition Teams, HR Leaders","Technology, Professional Services, Healthcare","Inclusive Hiring Platform, Job Description Bias Scanner, Diversity Sourcing","Inclusive Recruitment, Job Posting Bias, Diversity Sourcing, Hiring Analytics","SaaS Platform, AI Tools, Analytics Dashboard",SaaS Subscription,Mid,AI-powered inclusive hiring platform eliminating bias from recruitment,"AI bias detection, integrations with ATS systems, diverse talent sourcing","Technology Innovation, Hiring Expertise","Product demos, LinkedIn, HR tech events","ATS providers, job boards, HR tech ecosystem",Enterprise talent acquisition teams,Inclusive hiring tech market growing,10/10
Lee-Anne Goodman Consulting,leeanngoodman.ca,"Toronto, ON",Speaker-Led Consultancy,Solo/Micro (1-5),"Corporate, Government, Conferences",Cross-Industry,"Keynote Speaking, DEI Workshop Facilitation, Leadership Development","Anti-Racism, Inclusive Leadership, Allyship, Courageous Conversations","Speaking, Workshops, Coaching",Per-Engagement,Mid,High-impact keynote speaking and facilitation on anti-racism and inclusion,"Personal brand, speaking reputation, media presence","Personal Brand, Lived Experience","Social media, media appearances, speaking circuits","Speaker bureaus, conference organizers","Corporate events, government conferences",Speaker-led DEI market competitive but growing,3/10
